chi,damage_scale,boundary_fraction,recovered
0.0500,0.0200,0.478442,1
0.2571,0.0200,0.478442,0
0.4643,0.0200,0.478442,0
0.6714,0.0200,0.486082,0
0.8786,0.0200,0.813524,0
1.0857,0.0200,0.990025,1
1.2929,0.0200,0.990982,1
1.5000,0.0200,0.990997,1
0.0500,0.0886,0.478442,1
0.2571,0.0886,0.478442,0
0.4643,0.0886,0.479228,0
0.6714,0.0886,0.430375,0
0.8786,0.0886,0.805004,0
1.0857,0.0886,0.990517,1
1.2929,0.0886,0.990990,1
1.5000,0.0886,0.990993,1
0.0500,0.1571,0.478442,1
0.2571,0.1571,0.478442,0
0.4643,0.1571,0.480292,0
0.6714,0.1571,0.437072,0
0.8786,0.1571,0.890373,1
1.0857,0.1571,0.990548,1
1.2929,0.1571,0.990619,1
1.5000,0.1571,0.990094,1
0.0500,0.2257,0.478442,1
0.2571,0.2257,0.478441,0
0.4643,0.2257,0.480697,0
0.6714,0.2257,0.460528,0
0.8786,0.2257,0.936320,1
1.0857,0.2257,0.989903,1
1.2929,0.2257,0.990997,1
1.5000,0.2257,0.990053,1
0.0500,0.2943,0.478442,1
0.2571,0.2943,0.478440,0
0.4643,0.2943,0.455070,0
0.6714,0.2943,0.510324,0
0.8786,0.2943,0.934019,1
1.0857,0.2943,0.990084,1
1.2929,0.2943,0.990997,1
1.5000,0.2943,0.990997,1
0.0500,0.3629,0.478442,1
0.2571,0.3629,0.478439,0
0.4643,0.3629,0.433608,0
0.6714,0.3629,0.627147,0
0.8786,0.3629,0.947692,1
1.0857,0.3629,0.990165,1
1.2929,0.3629,0.990535,1
1.5000,0.3629,0.990997,1
0.0500,0.4314,0.478442,1
0.2571,0.4314,0.478438,0
0.4643,0.4314,0.428019,0
0.6714,0.4314,0.791542,0
0.8786,0.4314,0.959172,1
1.0857,0.4314,0.990725,1
1.2929,0.4314,0.990997,1
1.5000,0.4314,0.990266,1
0.0500,0.5000,0.478442,1
0.2571,0.5000,0.478437,0
0.4643,0.5000,0.423204,0
0.6714,0.5000,0.746374,0
0.8786,0.5000,0.972721,1
1.0857,0.5000,0.990995,1
1.2929,0.5000,0.990087,1
1.5000,0.5000,0.990957,1
